Judul,year,album,type,url
Remenissions,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/remenissions.html
Requiem,2013,Hail To The King,album,http://www.azlyrics.com/lyrics/avengedsevenfold/requiem.html
Retrovertigo,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/retrovertigo.html
Roman Sky,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/romansky.html
Runaway,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/runaway.html
Save Me,2010,Nightmare,album,http://www.azlyrics.com/lyrics/avengedsevenfold/saveme.html
Scream,2007,Avenged Sevenfold,album,http://www.azlyrics.com/lyrics/avengedsevenfold/scream.html
Second Heartbeat,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/secondheartbeat.html
Seize The Day,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/seizetheday.html
Set Me Free,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/setmefree.html
Shattered By Broken Dreams,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/shatteredbybrokendreams.html
Shepherd Of Fire,2013,Hail To The King,album,http://www.azlyrics.com/lyrics/avengedsevenfold/shepherdoffire.html
Sidewinder,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/sidewinder.html
Simulation,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/simulation.html
So Far Away,2010,Nightmare,album,http://www.azlyrics.com/lyrics/avengedsevenfold/sofaraway.html
St. James,2013,Hail To The King,album,http://www.azlyrics.com/lyrics/avengedsevenfold/stjames.html
Streets,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/streets.html
Strength Of The World,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/strengthoftheworld.html
Sunny Disposition,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/sunnydisposition.html
Tension,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/tension.html
The Art Of Subconscious Illusion,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/theartofsubconsciousillusion.html
